source,region,collected_at,material_code,external_id,title,url,currency,raw_price,package_quantity,package_unit,brand,seller
MERCADOLIBRE,GBA,2026-08-24,CEMENTO_PORTLAND_25KG,,Bolsa Cemento Avellaneda X 25 Kg,https://www.mercadolibre.com.ar/bolsa-cemento-avellaneda-x-25-kg/p/MLA53674271,ARS,22000,1,BAG_25KG,Avellaneda,CEMENTOS AVELLANEDA S.A
MERCADOLIBRE,GBA,2026-08-24,CEMENTO_PORTLAND_25KG,,Cemento Avellaneda Tipo Portland 25 Kgs,https://www.mercadolibre.com.ar/cemento-avellaneda-tipo-portland-25-kgs/p/MLA2070299990,ARS,11140,1,BAG_25KG,Avellaneda,AVELLANEDA
MERCADOLIBRE,GBA,2026-08-24,CEMENTO_PORTLAND_25KG,,Cemento Loma Negra Portland Bolsa 25 Kg,https://www.mercadolibre.com.ar/cemento-loma-negra-portland-bolsa-25-kg/up/MLAU4194530786,ARS,11875,1,BAG_25KG,Loma Negra,LOMA NEGRA
MERCADOLIBRE,GBA,2026-08-24,CEMENTO_PORTLAND_25KG,,Cemento Avellaneda Portland Cpc 40 25kg Gris,https://www.mercadolibre.com.ar/cemento-avellaneda-portland-cpc-40-25kg-gris/p/MLA2043114389,ARS,11500,1,BAG_25KG,Avellaneda,AVELLANEDA
MERCADOLIBRE,GBA,2026-08-24,CEMENTO_PORTLAND_25KG,,Cemento Portland Porlan Holcim 25kg,https://www.mercadolibre.com.ar/cemento-portland-porlan-holcim-25kg/up/MLAU4333489283,ARS,8790,1,BAG_25KG,Holcim,HOLCIM
MERCADOLIBRE,GBA,2026-08-24,CEMENTO_PORTLAND_25KG,,Holcim Maestro 25kg,https://www.mercadolibre.com.ar/holcim-maestro-25kg/p/MLA53972933,ARS,10680,1,BAG_25KG,Holcim,HOLCIM
MERCADOLIBRE,GBA,2026-08-24,CEMENTO_PORTLAND_25KG,,Cemento Hercal Portland Porlan Maestro 25kg,https://www.mercadolibre.com.ar/cemento-hercal-portland-porlan-maestro-25kg/up/MLAU3352341101,ARS,12290,1,BAG_25KG,Hercal,PORTLAND MAESTRO
MERCADOLIBRE,GBA,2026-08-24,CEMENTO_PORTLAND_25KG,,Cemento Loma Negra 25 Kg,https://www.mercadolibre.com.ar/cemento-loma-negra-25-kg/p/MLA54018834,ARS,9250,1,BAG_25KG,Loma Negra,
MERCADOLIBRE,GBA,2026-08-24,CAL_HIDRATADA_25KG,,Bolsa Cal Hidrat X 25 Kg,https://www.mercadolibre.com.ar/bolsa-cal-hidrat-x-25-kg/p/MLA35559872,ARS,3500,1,BAG_25KG,,HIDRAT
MERCADOLIBRE,GBA,2026-08-24,CAL_HIDRATADA_25KG,,Cal Hidratada El Milagro X 25 Kg Cefas,https://www.mercadolibre.com.ar/cal-hidratada-el-milagro-x-25-kg-cefas/p/MLA37136538,ARS,23800,1,BAG_25KG,El Milagro,EL MILAGRO
