source,region,collected_at,material_code,external_id,title,url,currency,raw_price,package_quantity,package_unit,brand,seller
MERCADOLIBRE,GBA,2026-08-24,CAL_HIDRATADA_25KG,,Bolsa De Cal Hidratada Común Avellaneda 25 Kgs,https://www.mercadolibre.com.ar/bolsa-de-cal-hidratada-comun-avellaneda-25-kgs/up/MLAU3324743522,ARS,9400,1,BAG_25KG,Avellaneda,CEMENTOS AVELLANEDA
MERCADOLIBRE,GBA,2026-08-24,CAL_HIDRATADA_25KG,,Cal Hidrat Extra X 25 Kg Para Albañileria Cemento Avellaneda,https://www.mercadolibre.com.ar/cal-hidrat-extra-x-25-kg-para-albanileria-cemento-avellaneda/up/MLAU294469194,ARS,9400,1,BAG_25KG,Hidrat Extra,HIDRAT EXTRA
MERCADOLIBRE,GBA,2026-08-24,CAL_HIDRATADA_25KG,,Cal Aerea Hidratada El Milagro X 25 Kg Calidad Superior Cefa,https://www.mercadolibre.com.ar/cal-aerea-hidratada-el-milagro-x-25-kg-calidad-superior-cefa/up/MLAU293067241,ARS,24800,1,BAG_25KG,El Milagro,CEFAS
MERCADOLIBRE,GBA,2026-08-24,CAL_HIDRATADA_25KG,,Bolsa De Cal Común Hidrat Por 25kg.,https://www.mercadolibre.com.ar/bolsa-de-cal-comun-hidrat-por-25kg/up/MLAU255091064,ARS,8892,1,BAG_25KG,,
MERCADOLIBRE,GBA,2026-08-24,CAL_HIDRATADA_25KG,,Cal Hidratada El Milagro X 25 Kg,https://www.mercadolibre.com.ar/cal-hidratada-el-milagro-x-25-kg/up/MLAU4312443287,ARS,27800,1,BAG_25KG,El Milagro,EL MILAGRO
MERCADOLIBRE,GBA,2026-08-24,CAL_HIDRATADA_25KG,,Cal Hidrat 25kg,https://www.mercadolibre.com.ar/cal-hidrat-25kg/up/MLAU3901156389,ARS,9500,1,BAG_25KG,,HIDRAT
MERCADOLIBRE,GBA,2026-08-24,LADRILLO_HUECO_18X18X33,,Ladrillo Hueco 18x18x33,https://www.mercadolibre.com.ar/ladrillo-hueco-18x18x33/up/MLAU368267378,ARS,115000,1,UNIT,,CORMELA
MERCADOLIBRE,GBA,2026-08-24,LADRILLO_HUECO_18X18X33,,Ladrillo Hueco 18x18x33,https://www.mercadolibre.com.ar/ladrillo-hueco-18x18x33/up/MLAU261833881,ARS,2214,1,UNIT,,PALERMO MATERIALES
MERCADOLIBRE,GBA,2026-08-24,LADRILLO_HUECO_18X18X33,,Ladrillo Hueco De 18x18x33,https://www.mercadolibre.com.ar/ladrillo-hueco-de-18x18x33/up/MLAU221038406,ARS,120597,1,UNIT,,
MERCADOLIBRE,GBA,2026-08-24,LADRILLO_HUECO_18X18X33,,Ladrillo Hueco Martin 18x18x33 Proyectar,https://www.mercadolibre.com.ar/ladrillo-hueco-martin-18x18x33-proyectar/up/MLAU4816310142,ARS,1248,1,UNIT,,
